,free_bikes,id,longitude,latitude
0,10,00fa94ad698dc4a9e4d708d6fd32f294,-123.140713,49.291909
1,7,012d3e06901cc222b1c2cf0a2ace3a29,-123.09306,49.262321
2,4,029a505bd4422a1afd127987757f71a6,-123.071865,49.275882
3,17,0438114d2e6b96118de69bc9775bb21e,-123.142135,49.28803
4,6,0459b7e93703980b853cd65a9dc60596,-123.092723,49.273777
5,14,04f64fde5ba1ebde8ad78c74914adb34,-123.145718,49.259469
6,17,06487275cd19694152824c7c3088e8ff,-123.116011,49.266314
7,15,064a7b39b1dbc4bfc4cf8f454e360c57,-123.168068,49.264928
8,0,066ecc3584913fa035ec1417323beb80,-123.104978,49.243375
9,7,06bdc4d55f34b2a491305534fd5defda,-123.061615,49.283968
10,4,07b13214cb69f2ec007d888450f3d6bc,-123.114769,49.259579
11,5,085a0e120a08a80a58c0ae0ff9da565a,-123.153422,49.247854
12,3,08c7a90bf297fde8c1f1156db13987d4,-123.089531,49.257939
13,7,0a43242bee10cd33f539af2c1bf5ecbf,-123.065646,49.256857
14,6,0b543fc4e694fe07a54dac48bb1b3390,-123.122092,49.282758
15,15,0c42f45e4a14957ad4a6d521d0ba8bc3,-123.132677,49.289255
16,13,0c9ad3e3703e5869b82619ecdf54f43e,-123.0975014,49.2685027
17,4,0cee06d7d10f7d3162cea03d22b7beed,-123.089413,49.26151
18,11,0cf6cd1809fa7f510812f5b052f578c4,-123.104824,49.266724
19,1,0d1b5c62f8d22e3650811df55596e25b,-123.120071,49.256845
20,7,0e0aef6fabaa808b3a3cef24657257a4,-123.119145,49.279259
21,10,10acadd77bc21f26a7f09d8c74d4af2d,-123.114237,49.277773
22,11,12dd264419c06f596d1a883ed36efd9c,-123.103738,49.283482
23,6,13021bba7bbeca1ccd8726ca17da59e6,-123.101306,49.25094
24,3,1648ead5ea617d2cea115869d9516f5e,-123.106534,49.276294
25,6,1675a77b9af656faf527b4e6de53e63b,-123.0732,49.2731
26,27,175a074bf65455d1633639511dc129c8,-123.10651,49.27023
27,15,17a3320a52bcc62161908967f8a06613,-123.085183,49.264466
28,2,198810b9b0af5d229d1b6fa12c620e06,-123.065264,49.283986
29,2,1bca0e944a4faf170db82793414b03ab,-123.101389,49.254667
30,0,1c8f7fd6535db12cc45cfc59aa9da058,-123.085333,49.261353
31,4,1d4153659a0a0a2089078c739df6737d,-123.120942,49.277844
32,9,1d442ad1a71774c82688a45954e47bfd,-123.152626,49.262835
33,2,1d7e73b3321ebb6713774d376247d9f9,-123.139203,49.288444
34,5,1ef01f2f89621d51afbabaa6296e55be,-123.096337,49.258352
35,12,1ef5c4ff3f0b09422bb1597fd9d7568b,-123.091206,49.283992
36,13,25318ec3e06fae1397a3a2f645104149,-123.144028,49.28972
37,12,257715b845828e027ff35dd0f11c971e,-123.111031,49.284554
38,4,261efc67071963969b3f848c66454d97,-123.250902,49.259999
39,4,2681455ba2d97283998a806b14d3e95c,-123.155267,49.263523
40,8,277b4b4881bdb7dac73012672179def8,-123.073707,49.261263
41,4,2781435bde344e1b64f1bebac6bc9008,-123.105234,49.256825
42,3,2ca388bba54706770900ca2a9d7aa5be,-123.131317,49.258819
43,4,2f09a64507cf6257c67ca20af27339eb,-123.145939,49.275938
44,2,2ff7eb4230654603592ab1b0780ec5e1,-123.183661,49.266636
45,6,30bf49544b1c864688b78172d42cca5e,-123.130281,49.299292
46,11,32603a87cfca71d0f7dfa3513bad69d5,-123.121817,49.274566
47,11,32f70f7ae14ba87523c6286a6c4d5c37,-123.124697,49.282503
48,17,3367c1e1dbf73caf7c10e4c96a92f58d,-123.106955,49.282759
49,3,34fd37d12eb989b49518ef53941ee3ff,-123.209176,49.264019
50,6,3596b4831ee2ea7812de753b32306835,-123.157443,49.268339
51,4,35eb539fb9298bb7e4f6759ca0256505,-123.104656,49.262062
52,6,365da33e9ce06ea53db1173a0f8eae71,-123.14338,49.262822
53,14,38f045e3f43f86eae42ca4c60257ade0,-123.190701,49.268974
54,12,3a4131fa94946d93d3529136efd62413,-123.127075,49.273663
55,3,3aed670ccdcd94b966c0f505f8b028c7,-123.131043,49.265198
56,19,3e112f9fe877e0003780386359060ae6,-123.11287,49.287214
57,5,41a55a7e2908fbbd65175b794d26bc8d,-123.120226,49.255034
58,3,421516af381a11f54d07fc79be68d3d3,-123.127071,49.258761
59,2,434b6f4e7fc30198f901b60fc905f609,-123.131099,49.283343
60,5,444991edc9550be0908f032da5e3c95f,-123.134356,49.285253
61,6,44fc3d58831a9f2b919c7a3a1838b74a,-123.097978,49.272172
62,12,45a4c865db23e1cad0209afa5a799de0,-123.155616,49.302577
63,4,475627e149c1a6ba73caac8d8d2fa617,-123.073501,49.266751
64,5,485d4d24c803cfde829ab89699fed833,-123.117772,49.264215
65,14,4990fe5772f3b73eebeec125b41e478e,-123.130557,49.27808
66,3,4ac99b928a91d8ccb785c9d0b805adb6,-123.09725,49.261973
67,10,4cb84c9a3743287019ae00ceef9a1cd3,-123.126217,49.262255
68,7,4e8fdc99e77ba1b70d90e124a704d0c1,-123.087359,49.277333
69,26,4f6ebf2026d540ffe40e29a80138ad5e,-123.114373,49.273833
70,13,5105df3dd0daf4c26980f4134f61e5cc,-123.127245,49.28763
71,2,51e4d3731aebbf9c3186f310a08de6c8,-123.152566,49.265605
72,7,521c2122c791ed038168c3b8ff24061b,-123.104799,49.25849
73,0,539432ded28d137406b01b3aa9622ac3,-123.109002,49.283668
74,13,549f00f6039e8bb702a00dcca08a8ed0,-123.116141,49.249184
75,6,5699b40126e10c2f68eefc3eb18ff3a1,-123.141564,49.270783
76,15,56fef9ba0af67a4ff3e661a8e02c0b08,-123.153212,49.257654
77,4,5726de7c5646b82f7aaeafba50aee03e,-123.2485487,49.2665793
78,9,57d39a680c9407cda0fb4de6d9c55138,-123.124373,49.246243
79,5,57e928d8c30fab0ebffb3ede850f89d6,-123.141135,49.266774
80,4,58345bb719f4e570ed4edc9dfa6a68a2,-123.254307,49.263073
81,1,58a026f0c506caec20697a4f90538450,-123.074082,49.280427
82,17,5a34495280727a5b50b9aa41e14e9a16,-123.128685,49.284893
83,0,5ba6e9725b1b0ee8cd25df976e47726b,-123.159663,49.273011
84,17,5de0fe55497681d4cc9dd25509cf51ab,-123.127062,49.290112
85,12,5f45325fdd6334a4c0d3b62853b19fa6,-123.11242,49.28512
86,6,5fc29e0ac42c11abb45bf12aaeb925bd,-123.13148,49.261742
87,2,61901a235d4cfceb7f8f2c3888b98617,-123.109091,49.262206
88,4,625a2ad202275c8e2be3ce868e85b105,-123.120126,49.259183
89,5,62a202eb98c0a4b09ba6746f5ee94ab3,-123.067965,49.252656
90,34,6526a2eb3832f9ba0224d237e901ea5b,-123.154493,49.273355
91,11,6620c54bd6b3a79800b2b67e999b24d0,-123.129998,49.274232
92,2,664502c28e8147615f17b8ea355f40d0,-123.12196,49.289124
93,5,66f873d641d448bd1572ab086665a458,-123.113504,49.260599
94,9,671ce9e4a92063620f772d2c57f0f3ab,-123.177633,49.268837
95,16,680b1ddfd50c4397b365c9c00f09b0d1,-123.11311,49.267725
96,9,686b314a6c3348efd2297d6b3dfed1a7,-123.130672,49.280881
97,1,686c0fdb962e26e274d81fc286c010dd,-123.115392,49.258763
98,0,6993b3dbb0758927967592ea612a2b1e,-123.118541,49.282409
99,4,6b1622540fe5c85d365754dd8c20bf0c,-123.069416,49.271377
100,10,6c0de983fb47a3439a9e3c36a3d15804,-123.105173,49.263837
101,3,6c24a62b5ee0a2a8014eb0dfb6d40025,-123.12482,49.28062
102,2,6c7fb9043e6df5a4cc50404581a947b9,-123.120523,49.283227
103,17,6d42fa40360f9a6b2bf641c7b8bb2862,-123.110154,49.279764
104,9,6ddeafa873279951630a00191333c45d,-123.120101,49.281506
105,5,6eaa02e5bcf78db5386683d38fa2dabd,-123.069936,49.266969
106,5,707c1c54e0278fbae5d0ae3c42a25b71,-123.099236,49.263635
107,4,7181df50ee1d1a05559399211382b7c8,-123.116251,49.279739
108,2,71c064fa93cab5f0b7306e6c923b77c4,-123.13811,49.2653
109,4,72c1049dfbbde7c24ec45c14f1a5ee85,-123.135244,49.28026
110,14,73f388336d879bedc962cd412eb0296e,-123.102661,49.2756
111,14,77163e893653b88926e07fd6b9f688da,-123.1312375,49.2885056
112,0,797ff1725f8d2b18337de51e240ff60d,-123.070102,49.261403
113,4,7a19c49f486d7c0c02b3685d7b240448,-123.114397,49.262487
114,15,7b8dfa12900bcb02b47a14e4e5010ba3,-123.10275,49.27033
115,1,7c17f51469f1a7145455f65ef6afbd87,-123.061575,49.285575
116,6,7d231a181d21056e4ba80c4d9939fe92,-123.090786,49.267266
117,7,7ed043a19e6a4ece742fe747b663bdbf,-123.109389,49.266476
118,5,7f091b50fbbd892bf9fb869a64c47120,-123.154966,49.238105
119,11,80b5c12ef21fd47275d37b2c9935249c,-123.164325,49.272969
120,2,826af7eee4ce28b6fa4b4f0211305792,-123.153157,49.267222
121,10,82c794442f54fabf9db6e392ca1fac0f,-123.130758,49.297933
122,4,838d5bb59963474ad08a6d5b156943ed,-123.100792,49.258425
123,11,852212d6d52b5f00544fad01d21c7db2,-123.100017,49.278529
124,16,899f59a9994302e8e1e4be01117ef707,-123.185643,49.27247
125,7,89a0b49a66e54a7639ad960962148a3e,-123.101289,49.252691
126,14,8c9ea7f2132376859ef34fab981d6932,-123.11877,49.276436
